0.000 + 0.000i
-30.955 + 3.369i
0.027 + -0.005i
-34.664 + -21.060i
-0.397 + 0.028i
-20.107 + -39.377i
0.032 + -0.197i
46.718 + -29.731i
-0.349 + -0.787i
-5.474 + 57.633i
1.061 + 0.431i
-44.482 + -32.057i
-0.961 + -1.122i
32.733 + -11.008i
-0.103 + -2.101i
7.924 + 37.083i
-0.798 + -0.001i
-51.594 + 36.505i
-1.185 + 0.253i
-25.428 + -13.867i
-1.143 + -0.399i
-67.982 + 34.201i
-6.105 + 3.857i
-56.200 + -110.405i
-0.253 + 3.294i
82.694 + 8.071i
0.834 + -3.333i
-66.784 + 17.993i
-2.637 + 3.757i
-14.053 + -15.469i
-1.358 + 2.482i
-78.520 + -34.998i
-3.098 + 2.529i
43.545 + -83.217i
-2.242 + -1.987i
-6.561 + 32.987i
-2.671 + 2.315i
7.020 + -73.277i
-5.043 + 0.929i
29.134 + 27.807i
-0.105 + 6.825i
-57.593 + -67.489i
-2.848 + 4.284i
75.332 + -70.668i
0.333 + -1.680i
49.435 + 31.976i
7.696 + 2.972i
-13.422 + 16.013i
2.612 + -0.440i
-10.519 + -35.339i
-0.219 + -2.941i
38.849 + -12.064i
-0.240 + -2.656i
7.493 + -17.412i
-6.667 + -1.212i
76.662 + -27.496i
7.390 + 1.580i
29.514 + 54.343i
2.546 + -6.995i
10.892 + 37.535i
5.831 + 7.967i
-52.888 + 31.900i
0.391 + -2.439i
1.176 + -64.668i
-5.088 + -0.389i
38.537 + 45.048i
5.104 + 7.243i
-42.410 + -43.926i
3.875 + -2.135i
69.443 + -2.320i
4.162 + -7.142i
-16.557 + 30.423i
0.768 + -0.751i
50.385 + -23.026i
2.804 + -5.462i
8.894 + 38.329i
2.477 + -1.701i
48.949 + -7.070i
10.980 + -9.365i
12.306 + 83.262i
-0.857 + -8.629i
-48.368 + 11.668i
-3.901 + 6.019i
-26.986 + -0.155i
-10.444 + 0.477i
4.395 + -15.925i
2.877 + 6.082i
0.764 + 5.812i
-9.658 + 2.387i
16.958 + 6.867i
16.664 + 8.518i
-0.763 + 52.490i
0.573 + -1.628i
-9.571 + 19.993i
15.480 + 6.464i
-43.718 + 38.632i
-0.525 + 3.890i
-66.044 + -30.344i
1.598 + 4.688i
-36.174 + -20.400i
-5.617 + 11.605i
-16.027 + -96.421i
-0.530 + -16.738i
133.797 + -21.864i
-2.568 + -10.353i
-10.735 + 54.741i
4.991 + 4.644i
41.336 + -33.617i
2.802 + -4.543i
-3.469 + 60.542i
10.454 + 9.236i
-35.092 + -27.888i
12.543 + -0.306i
1.145 + 36.638i
10.176 + -11.965i
-21.711 + -9.329i
-1.851 + -6.497i
-9.090 + 39.386i
1.459 + 6.062i
-51.388 + -61.243i
-4.203 + -4.452i
43.411 + -76.188i
-7.853 + -17.826i
36.922 + 17.951i
8.829 + -11.616i
25.329 + 13.166i
-9.732 + -20.644i
19.147 + 26.543i
-8.019 + -2.341i
6.614 + 37.988i
-4.420 + 5.081i
-47.869 + 28.533i
-5.028 + 20.069i
19.512 + -24.779i
14.136 + -5.921i
-7.050 + 25.086i
-8.933 + -3.061i
-1.195 + -33.022i
-2.476 + 5.275i
-47.041 + 55.251i
4.468 + 21.128i
-41.582 + -116.120i
-21.611 + -16.540i
85.055 + 35.745i
14.028 + 17.561i
-78.579 + 42.504i
5.717 + 12.857i
9.395 + -56.397i
6.244 + 1.633i
8.685 + 7.987i
10.547 + -5.182i
7.721 + -42.016i
6.810 + -8.173i
-20.514 + 52.242i
10.528 + 1.962i
-37.476 + -40.427i
-4.966 + -7.878i
42.177 + -23.432i
2.997 + -17.895i
19.654 + 30.287i
6.287 + -9.525i
